rank,first_name,last_name,team,position
1,jonathan,taylor,IND,RB
2,christian,mccaffrey,CAR,RB
3,cooper,kupp,LAR,WR
4,austin,ekeler,LAC,RB
5,justin,jefferson,MIN,WR
6,jamarr,chase,CIN,WR
7,derrick,henry,TEN,RB
8,najee,harris,PIT,RB
9,dalvin,cook,MIN,RB
10,alvin,kamara,NO,RB
11,davante,adams,LV,WR
12,deebo,samuel,SF,WR
13,stefon,diggs,BUF,WR
14,joe,mixon,CIN,RB
15,dandre,swift,DET,RB
16,ceedee,lamb,DAL,WR
17,tyreek,hill,MIA,WR
18,leonard,fournette,TB,RB
19,mark,andrews,BAL,TE
20,javonte,williams,DEN,RB
21,travis,kelce,KC,TE
22,james,conner,ARI,RB
23,aaron,jones,GB,RB
24,keenan,allen,LA,WR
25,tee,higgins,CIN,WR
26,mike,evans,TB,WR
27,dj,moore,CAR,WR
28,saquon,barkley,NYG,RB
29,cam,akers,LAR,RB
30,michael,pittman,IND,WR
31,aj,brown,PHI,WR
32,terry,mclaurin,WAS,WR
33,nick,chubb,CLE,RB
34,diontae,johnson,PIT,WR
35,jaylen,waddle,MIA,WR
36,mike,williams,LAC,WR
37,brandin,cooks,HOU,WR
38,kyle,pitts,ATL,TE
39,david,montgomery,CHI,RB
40,ezekiel,elliott,DAL,RB
41,travis,etienne,JAC,RB
42,breece,hall,NYJ,RB
43,joshua,allen,BUF,QB
44,marquise,brown,ARI,WR
45,dk,metcalf,SEA,WR
46,jerry,jeudy,DEN,WR
47,courtland,sutton,DEN,WR
48,jk,dobbins,BAL,RB
49,chris,godwin,TB,WR
50,amonra,stbrown,DET,WR
51,darnell,mooney,CHI,WR
52,gabriel,davis,BUF,WR
53,patrick,mahomes,KC,QB
54,justin,herbert,LAC,QB
55,josh,jacobs,LV,RB
56,elijah,mitchell,SF,RB
57,clyde,edwardshelaire,KC,RB
58,devin,singletary,BUF,RB
59,miles,sanders,PHI,RB
60,darren,waller,LV,TE
61,george,kittle,SF,TE
62,lamar,jackson,BAL,QB
63,kyler,murray,ARI,QB
64,amari,cooper,CLE,WR
65,michael,thomas,NO,WR
66,allen,robinson,LAR,WR
67,christian,kirk,JAC,
68,hunter,renfrow,LV,WR
69,juju,smithschuster,KC,WR
70,adam,thielen,MIN,WR
71,rashod,bateman,BAL,WR
72,drake,london,ATL,WR
73,elijah,moore,NYJ,WR
74,tyler,lockett,SEA,WR
75,devonta,smith,PHI,WR
76,jalen,hurts,PHI,QB
77,dalton,schultz,DAL,TE
78,tj,hockenson,DET,TE
79,dameon,pierce,HOU,RB
80,kareem,hunt,CLE,RB
81,rhamondre,stevenson,NE,RB
82,damien,harris,NE,RB
83,chase,edmonds,MIA,RB
84,antonio,gibson,WAS,RB
85,cordarrelle,patterson,ATL,RB
86,tony,pollard,DAL,RB
87,dallas,goedert,PHI,TE
88,zach,ertz,ARI,TE
89,dak,prescott,DAL,QB
90,tom,brady,TB,QB
91,aaron,rodgers,GB,QB
92,russell,wilson,DEN,QB
93,joe,burrow,CIN,QB
94,matthew,stafford,LAR,QB
95,kadarius,toney,NYG,WR
96,brandon,aiyuk,SF,WR
97,allen,lazard,GB,WR
98,robert,woods,TEN,WR
99,deandre,hopkins,ARI,WR
100,garrett,wilson,NYJ,WR
101,chris,olave,NO,WR
102,chase,claypool,PIT,WR
103,trey,lance,SF,QB
104,aj,dillon,GB,RB
105,rashaad,penny,SEA,RB
106,james,robinson,JAC,RB
107,michael,carter,NYJ,WR
108,melvin,gordon,DEN,RB
109,pat,freiermuth,PIT,TE
110,cole,kmet,CHI,TE
111,jakobi,meyers,NE,WR
112,russell,gage,TB,WR
113,marquez,valdesscantling,KC,WR
114,tyler,boyd,CIN,WR
115,dj,chark,DET,WR
116,michael,gallup,DAL,WR
117,skyy,moore,KC,WR
118,nyheim,hines,IND,RB
119,ken,walker,SEA,RB
120,james,cook,BUF,RB
121,raheem,mostert,MIA,RB
122,derek,carr,LV,QB
123,kirk,cousins,MIN,QB
124,dawson,knox,BUF,TE
125,hunter,henry,NE,TE
126,mike,gesicki,MIA,TE
127,trevor,lawrence,JAC,QB
128,tua,tagovailoa,MIA,QB
129,justin,fields,CHI,QB
130,treylon,burks,TEN,WR
131,jahan,dotson,WAS,WR
132,jarvis,landry,NO,WR
133,josh,palmer,LAC,WR
134,robbie,anderson,CAR,WR
135,marvin,jones,JAC,WR
136,devante,parker,NE,WR
137,noah,fant,SEA,TE
138,irv,smith,MIN,TE
139,david,njoku,CLE,TE
140,tyler,higbee,LAR,TE
141,,bills,BUF,D/ST
142,,packers,GB,D/ST
143,,saints,NO,D/ST
144,,buccaneers,tb,D/ST
145,,ravens,BAL,D/ST
146,,49ers,SF,D/ST
147,,cowboys,DAL,D/ST
148,,colts,IND,D/ST
149,,steelers,PIT,D/ST
150,,dolphins,MIA,D/ST
151,justin,tucker,BAL,K
152,evan,mcpherson,CIN,K
153,matt,gay,LAR,K
154,harrison,butker,KC,K
155,daniel,carlson,LV,K
156,brandon,mcmanus,DEN,K
157,nick,folk,NE,K
158,tyler,bass,BUF,K
159,matt,prater,ARI,K
160,graham,gano,NYG,K
161,brian,robinson,WAS,RB
162,jd,mckissic,WAS,RB
163,kenneth,gainwell,PHI,RB
164,darrell,henderson,LAR,RB
165,alexander,mattison,MIN,RB
166,jamaal,williams,DET,RB
167,khalil,herbert,CHI,RB
168,rex,burkhead,HOU,RB
169,tyler,allgeier,ATL,RB
170,jerick,mckinnon,KC,RB
171,kenny,golladay,NYG,WR
172,jalen,tolbert,DAL,WR
173,george,pickens,PIT,WR
174,rondale,moore,ARI,WR
175,nico,collins,HOU,WR
176,wandale,robinson,NYG,WR
177,julio,jones,TB,WR
178,alec,pierce,IND,WR
179,mecole,hardman,KC,WR
180,van,jefferson,LAR,WR
181,isaiah,mckenzie,BUF,WR
182,jamison,crowder,BUF,WR
183,jameson,williams,DET,WR
184,evan,engram,JAC,TE
185,austin,hooper,TEN,TE
186,hayden,hurst,CIN,TE
187,daniel,jones,NYG,QB
188,jameis,winston,NO,QB
189,,chargers,LAC,D/ST
190,,commanders,WAS,D/ST
191,greg,joseph,MIN,K
192,jake,elliott,PHI,K
193,rachaad,white,TB,RB
194,mike,davis,BAL,RB
195,zamir,white,LV,RB
196,isiah,pacheco,KC,RB
197,mark,ingram,NO,RB
198,damien,williams,ATL,RB
199,samaje,perine,CIN,RB
200,dontrell,hilliard,TEN,RB
201,boston,scott,PHI,RB
202,sony,michel,LAC,RB
203,romeo,doubs,GB,WR
204,christian,watson,GB,WR
205,curtis,samuel,WAS,WR
206,donta,foreman,CAR,RB
207,chuba,hubbard,CAR,RB
208,darrel,williams,ARI,RB
209,eno,benjamin,ARI,RB
210,isaiah,spiller,LAC,RB
211,ameer,abdullah,LV,RB
212,ty,montgomery,NE,RB
213,tyrion,davisprice,SF,RB
214,albert,okwuegbunam,DEN,TE
215,carson,wentz,WAS,QB
216,cedrick,wilson,MIA,WR
217,kj,hamler,DEN,WR
218,velus,jones,CHI,WR
219,zach,wilson,NYJ,QB
220,ryan,tannehill,TEN,QB
221,,browns,CLE,D/ST
222,,eagles,PHI,D/ST
223,robbie,gould,SF,K
224,ryan,succop,TB,K
225,kj,osborn,MIN,WR
226,sterling,shepard,NYG,WR
227,odell,beckham,FA,WR
228,randall,cobb,GB,WR
229,corey,davis,NYJ,WR
230,aj,green,ARI,WR
231,nick,westbrookikhine,TEN,WR
232,kendrick,bourne,NE,WR
233,parris,campbell,IND,WR
234,zay,jones,JAC,WR
235,gus,edwards,BAL,RB
236,dare,ogunbowale,HOU,RB
237,keshawn,vaughn,TB,RB
238,matt,breida,NYG,RB
239,chris,evans,CIN,RB
240,myles,gaskin,MIA,RB
241,hassan,haskins,TEN,RB
242,joshua,kelley,LAC,RB
243,matt,ryan,IND,QB
244,mac,jones,NE,QB
245,jared,goff,DET,QB
246,gerald,everett,LAC,TE
247,robert,tonyan,GB,TE
248,logan,thomas,WAS,TE
249,isaiah,likely,BAL,TE
250,deejay,dallas,SEA,RB
251,dee,eskridge,SEA,WR
252,donovan,peroplesjones,CLE,WR
253,,bengals,CIN,D/ST
254,,patriots,NE,D/ST
255,dustin,hopkins,LAC,K
256,mason,crosby,GB,K
257,mo,aliecox,IND,TE
258,brevin,jordan,HOU,TE
259,tyler,conklin,NYJ,TE
260,devin,duvernay,BAL,WR
261,braxton,berrios,NYJ,WR
262,bryan,edwards,NYJ,WR
263,phillip,dorsett,HOU,WR
264,jeff,wilson,SF,RB
